sa1,pop
1104601,412
1104602,316
1104603,490
1104604,444
1104605,258
1104606,430
1104607,492
1104608,524
1104609,416
1104610,255
1104611,281
1104612,304
1104613,0
1104614,283
1104615,302
1104616,505
1104617,449
1104618,508
1104619,496
1104620,411
1104621,314
1104622,334
1104623,25
1104624,518
1104625,646
1104701,453
1104702,247
1104703,222
1104704,546
1104705,556
1104706,414
1104707,520
1104708,578
1104709,514
1104710,271
1104711,480
1104712,539
1104713,781
1104714,194
1104715,434
1104716,365
1104717,406
1104718,392
1104719,634
1104720,264
1104721,457
1104722,499
1104723,257
1104724,354
1104725,248
1104726,356
1104727,316
1104728,571
1104729,547
1104730,318
1104731,574
1104732,510
1104733,173
1104734,289
1104735,532
1104736,528
1104737,19
1104801,288
1104802,392
1104803,552
1104804,334
1104805,385
1104806,263
1104807,539
1104808,356
1104809,456
1104810,602
1104811,627
1104812,588
1104813,575
1104814,722
1104815,399
1104816,359
1104817,494
1104818,588
1104819,475
1104820,261
1104821,566
1104822,543
1104823,342
1104824,703
1104825,492
1104826,432
1104827,500
1104828,532
1104829,481
1104830,572
1104831,408
1104832,509
1104833,520
1104834,335
1104835,335
1104836,573
1104837,561
1104838,339
1104840,329
1104841,349
1104842,366
1104843,444
1104844,319
1104845,543
1104846,570
1104847,325
1104848,454
1104849,426
1104901,474
1104902,284
1104903,413
1104904,367
1104905,519
1104906,357
1104907,242
1104908,195
1104909,0
1104910,495
1105001,621
1105002,351
1105003,526
1105004,314
1105005,414
1105006,424
1105007,421
1105008,761
1105009,438
1105010,334
1105011,417
1105012,344
1105013,403
1105014,0
1105015,236
1105016,6
1105017,384
1105018,329
1105019,442
1105020,339
1105021,505
1105022,467
1105024,401
1105025,380
1105026,529
1105027,353
1105028,598
1105101,484
1105102,362
1105103,254
1105104,225
1105105,0
1105106,491
1105107,87
1105108,479
1105109,295
1105110,365
1105111,262
1105112,325
1105113,371
1105114,339
1105115,260
1105116,266
1105201,592
1105202,529
1105203,293
1105204,554
1105205,578
1105206,424
1105207,454
1105208,381
1105209,368
1105210,279
1105211,0
1105213,254
1105214,299
1105215,289
1105216,469
1105301,506
1105302,430
1105303,484
1105304,375
1105305,558
1105306,426
1105307,586
1105308,342
1105309,364
1105310,388
1105311,323
1105312,328
1105313,280
1105314,421
1105315,599
1105316,526
1105317,281
1105318,334
1105319,181
1105320,327
1105321,628
1105322,208
1105323,11
1105324,409
1105325,386
1105326,430
1105327,354
1105328,612
1105329,511
1105330,466
1105331,325
1105332,359
1105333,323
1105334,659
1105335,393
1105336,284
1105337,514
1105401,540
1105402,339
1105403,358
1105404,499
1105405,265
1105406,550
1105407,572
1105408,743
1105409,352
1105410,381
1105411,398
1105412,447
1105413,322
1105414,354
1105415,0
1105416,0
1105417,329
1105418,621
1105419,693
1105420,430
1105421,398
1105422,416
1105423,478
1105424,281
1105501,307
1105502,572
1105503,472
1105504,21
1105505,348
1105506,551
1105507,524
1105508,387
1105509,540
1105510,250
1105511,548
1105512,239
1105513,285
1105514,265
1105601,708
1105602,770
1105603,696
1105604,241
1105605,675
1105606,301
1105607,509
1105608,504
1105609,416
1105612,516
1105613,581
1105614,449
1105615,531
1105616,16
1105617,291
1105618,1218
1105620,323
1105621,3
1105622,413
1105623,395
1105624,440
1105625,345
1105626,1020
1105627,546
1105628,738
1105629,534
1105630,589
1105631,523
1105632,407
1105633,534
1105701,722
1105702,506
1105703,548
1105704,468
1105705,37
1105706,427
1105707,652
1105708,318
1105709,429
1105710,674
1105711,387
1105712,350
1105713,257
1105714,308
1105715,329
1105716,549
1105717,555
1105718,544
1105719,473
1105720,280
1105801,385
1105802,295
1105804,362
1105805,293
1105806,420
1105807,239
1105808,226
1105809,275
1105811,383
1105813,486
1105814,331
1105815,384
1105816,291
1105817,512
1105818,530
1105819,441
1105820,313
1105821,304
1105822,428
1105823,611
1105824,499
1105825,414
1105826,606
1105827,468
1105828,343
1105829,451
1105830,339
1105831,263
1105832,388
1105833,232
1105834,389
1105835,500
1105836,308
1105837,301
1105838,539
1105839,572
1105840,474
1105841,469
1105842,500
1105843,460
1105844,424
1105845,524
1105846,506
1105847,629
1105848,517
1105849,618
1105850,312
1105851,425
1105852,0
1105853,317
1105854,356
1105855,354
1105856,272
1105857,341
1105858,4
1105859,628
1105860,266
1105861,248
1105862,241
1105863,470
1105864,379
1105901,387
1105902,344
1105903,313
1105904,3
1105905,516
1105906,294
1105907,322
1105908,270
1105910,880
1105912,323
1105913,557
1105914,412
1105915,329
1105916,611
1105917,804
1105918,558
1105919,878
1105920,296
1105921,344
1105922,414
1105923,989
1105924,228
1105925,562
1105926,468
1105927,81
1106001,231
1106002,215
1106003,255
1106004,423
1106005,383
1106006,564
1106007,181
1106008,434
1106009,229
1106010,515
1106011,355
1106012,378
1106013,351
1106014,262
1106015,280
1106016,457
1106017,234
1106018,291
1106019,328
1106020,305
1106021,242
1106101,206
1106102,392
1106103,377
1106104,222
1106105,233
1106106,431
1106107,278
1106108,415
1106109,174
1106110,334
1106111,267
1106112,460
1106113,8
1106114,266
1106115,251
1106116,350
1106201,415
1106202,470
1106203,455
1106204,384
1106205,432
